Id,SalePrice
1461,126528.19091325183
1462,155772.67229373142
1463,183269.9903940019
1464,180257.70106014895
1465,193977.32413856717
1466,191637.7324546732
1467,169532.88987322492
1468,174093.46862499314
1469,191428.2207434747
1470,126494.62823229376
1471,209453.4381395645
1472,97453.91601900614
1473,110153.91191077551
1474,152545.83893400422
1475,119416.10489735796
1476,368985.9373729562
1477,257521.57591514481
1478,298956.8931338257
1479,303603.0250608204
1480,478448.3274512508
1481,309882.2246726099
1482,206056.03235683864
1483,185723.18598128005
1484,176339.5038704229
1485,180543.6665035907
1486,200162.06589203
1487,298885.8113573162
1488,248540.9868786108
1489,206267.81253298552
1490,224940.57986495618
1491,208433.1140643229
1492,104976.42359654226
1493,175173.06139620504
1494,303901.99578531773
1495,292860.3647510812
1496,230007.36472430677
1497,192464.73911252708
1498,164382.66227850138
1499,161450.26375010744
1500,164640.07954185156
1501,174126.98610750976
1502,166829.65520393077
1503,263551.4050312942
1504,231011.27018808597
1505,219785.4450104259
1506,173821.513261361
1507,248757.75559236947
1508,183334.47566664874
1509,160060.1729804434
1510,153100.8064806173
1511,149986.22167290878
1512,181358.73884844975
1513,151461.36362157442
1514,160634.98777414198
1515,189442.08131125753
1516,153097.64402556716
1517,149609.6549969641
1518,136160.24387721263
1519,233442.78558667624
1520,137371.1055014609
1521,147416.22041939685
1522,161801.94519686888
1523,118588.73150744647
1524,122300.87343991798
1525,133079.66336998847
1526,131160.54243337412
1527,108120.53533128604
1528,126161.22642667769
1529,147956.71591698588
1530,168789.59788094062
1531,130771.64350560194
1532,114648.14122365805
1533,135976.70831649395
1534,121933.10876717587
1535,150854.68788404643
1536,119134.05078888313
1537,100538.25867628596
1538,158042.3292332825
1539,204411.39495846588
1540,134510.95104995085
1541,139944.86081287402
1542,140278.56140663289
1543,195518.49568671454
1544,91492.05207764187
1545,110726.32575179498
1546,124592.32245958205
1547,134834.9670009006
1548,129260.70784226074
1549,121298.26881318819
1550,141418.32841562873
1551,117859.69998295116
1552,142256.93681054882
1553,152040.71279907788
1554,123390.37395849766
1555,161938.99712355755
1556,94038.47195566034
1557,121342.87978056436
1558,104359.83512802594
1559,114290.16486638777
1560,141726.92895975243
1561,147650.8755758475
1562,127900.38352557072
1563,130314.47707011976
1564,162388.12421783913
1565,156216.34033742818
1566,217910.85346333316
1567,97958.37731502029
1568,216067.5183945236
1569,155596.0264829111
1570,139624.06722044325
1571,134718.00660878475
1572,141768.6552154103
1573,240788.2416320865
1574,117401.70554273928
1575,219163.4211055215
1576,232078.6216974098
1577,197439.60866559556
1578,149990.88675572278
1579,149369.12277466292
1580,197612.34269434906
1581,148796.05402373805
1582,135202.05394780825
1583,321702.0647916035
1584,255248.03451159206
1585,142374.6481539631
1586,98770.09036703486
1587,112142.1990461279
1588,143341.60312700577
1589,105060.62099601788
1590,130603.47848154914
1591,116655.08165721224
1592,128643.15931438627
1593,123327.63907135402
1594,145473.27136413762
1595,122580.99887349799
1596,207058.1700503486
1597,162541.31283868718
1598,194148.18244774986
1599,165644.03715835762
1600,179030.8826741466
1601,84797.52317281089
1602,119520.46705375244
1603,98461.32042924607
1604,275641.33469034685
1605,248243.7322826479
1606,156021.27097109696
1607,171233.01344810502
1608,228946.72704462195
1609,198205.9560868604
1610,173221.83087131564
1611,146791.89075674626
1612,192670.43419633943
1613,176995.88486923993
1614,121868.55260459335
1615,98978.85171347605
1616,88100.19565796432
1617,95867.20992529283
1618,125818.82180022723
1619,132441.30296422626
1620,169987.72138302395
1621,147048.59757226694
1622,148868.2142792183
1623,267963.63433994487
1624,220706.25798372264
1625,127089.91072247426
1626,166571.79091802042
1627,190354.58280972225
1628,269084.2312365497
1629,183413.39300288915
1630,316169.6190998616
1631,208633.4169830622
1632,236008.94431889633
1633,176717.99513576506
1634,180264.75901852868
1635,186017.1342957117
1636,171129.4003755742
1637,181916.92600829332
1638,214671.70146872205
1639,175986.7236802349
1640,248762.36524819655
1641,179205.88742977797
1642,236963.19985022198
1643,229266.77205141814
1644,227733.341178338
1645,190083.3856751323
1646,154902.6089380621
1647,159874.7978323792
1648,140957.23111777453
1649,143392.7637521128
1650,128532.99910091909
1651,128581.9455651851
1652,97841.06285955
1653,96628.53424044303
1654,149954.4015064169
1655,140664.63503849573
1656,150667.39054845658
